DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-000904250114120A,DUT0,45,51,37.20,3.96
DAQ-000904250114120A,DUT0,47,51,27.23,3.16
DAQ-000904250114120A,DUT0,50,51,18.26,2.41
DAQ-000904250114120A,DUT0,52,51,14.67,2.17
DAQ-000904250114120A,DUT0,55,51,11.18,1.94
DAQ-000904250114120A,DUT0,57,51,9.62,1.82
DAQ-000904250114120A,DUT0,60,51,7.93,1.65
DAQ-000904250114120A,DUT0,62,51,7.07,1.55
DAQ-000904250114120A,DUT0,65,51,6.00,1.39
DAQ-000904250114120A,DUT0,67,51,5.38,1.29
DAQ-000904250114120A,DUT0,70,51,4.53,1.15
DAQ-000904250114120A,DUT0,72,51,4.04,1.05
DAQ-000904250114120A,DUT0,75,51,3.42,0.84
DAQ-000904250114120A,DUT0,77,51,nan,nan
DAQ-000904250114120A,DUT0,80,51,nan,nan
